"depth_m";"date";"press_PSI";"Temp_degC";"cond_uS_cm";"spec_Cond_uS_cm";"DO_mg_L";"DOsat_%";"PAR";"pH";"Chla_ug_L";"turb_FTU"
23.857;2022-06-03 12:28:11;33.933;11.926;341.842837;462.839;5.0428;46.777;0.091306;8.129;1.624;2.502
23.888;2022-06-03 12:28:12;33.976;11.9168;341.782245;462.872;5.0513;46.847;0.09137;8.13;1.4333;2.495
23.908;2022-06-03 12:28:12;34.006;11.9037;341.842864;463.12;5.0582;46.896;0.091274;8.131;1.3265;2.63
23.919;2022-06-03 12:28:12;34.021;11.8937;341.842875;463.245;5.0607;46.909;0.091338;8.131;1.2197;2.556
23.936;2022-06-03 12:28:12;34.045;11.8866;341.842884;463.334;5.0711;46.997;0.091178;8.131;1.2273;2.403
23.966;2022-06-03 12:28:13;34.088;11.8821;341.812588;463.349;5.0667;46.952;0.09121;8.127;1.2425;2.6
24.007;2022-06-03 12:28:13;34.145;11.8765;341.721689;463.297;5.0737;47.011;0.091274;8.131;1.2273;2.443
24.054;2022-06-03 12:28:13;34.212;11.8681;341.7217;463.402;5.0739;47.004;0.091258;8.131;1.0823;2.35
24.102;2022-06-03 12:28:13;34.281;11.8611;341.661106;463.409;5.0845;47.094;0.091242;8.133;0.9679;2.436
24.145;2022-06-03 12:28:14;34.343;11.8504;341.47931;463.296;5.0848;47.085;0.09129;8.13;0.8458;2.455
24.178;2022-06-03 12:28:14;34.389;11.8367;341.418723;463.387;5.0964;47.178;0.091162;8.128;0.8077;2.382
24.205;2022-06-03 12:28:14;34.428;11.821;341.418741;463.584;5.0939;47.138;0.091274;8.131;0.8534;2.228
24.23;2022-06-03 12:28:14;34.464;11.8086;341.358153;463.657;5.102;47.2;0.091274;8.132;0.8382;2.35
24.263;2022-06-03 12:28:15;34.51;11.7999;341.327863;463.726;5.1038;47.208;0.091274;8.129;0.7543;2.451
24.298;2022-06-03 12:28:15;34.56;11.7908;341.327874;463.841;5.1061;47.218;0.091322;8.129;0.7161;2.533
24.33;2022-06-03 12:28:15;34.605;11.782;341.236981;463.828;5.1014;47.166;0.09121;8.13;0.8992;2.508
24.36;2022-06-03 12:28:15;34.649;11.7754;341.267291;463.953;5.0955;47.104;0.09129;8.131;0.8;2.27
24.397;2022-06-03 12:28:16;34.701;11.7725;341.267295;463.989;5.0929;47.077;0.091242;8.131;0.8763;2.502
24.437;2022-06-03 12:28:16;34.757;11.7698;341.206697;463.941;5.0865;47.015;0.091258;8.128;0.8992;2.457
24.474;2022-06-03 12:28:16;34.81;11.7651;341.146101;463.918;5.088;47.024;0.09121;8.13;0.9374;2.302
24.505;2022-06-03 12:28:16;34.855;11.7605;341.20671;464.059;5.0708;46.86;0.09121;8.128;1.0365;2.323
24.533;2022-06-03 12:28:17;34.894;11.7573;341.146112;464.016;5.0758;46.903;0.091274;8.13;1.0518;2.626
24.551;2022-06-03 12:28:17;34.92;11.7554;341.146115;464.04;5.0766;46.908;0.09121;8.124;1.0518;2.533
24.575;2022-06-03 12:28:17;34.954;11.7544;341.146117;464.054;5.0707;46.853;0.09137;8.129;0.9603;2.583
24.597;2022-06-03 12:28:17;34.985;11.7534;341.146118;464.066;5.0672;46.819;0.091242;8.127;0.8992;2.39
24.617;2022-06-03 12:28:18;35.013;11.7525;341.14612;464.077;5.0615;46.765;0.09121;8.127;0.8153;2.642
24.636;2022-06-03 12:28:18;35.041;11.751;341.146122;464.096;5.0544;46.698;0.09121;8.127;0.7695;2.539
24.666;2022-06-03 12:28:18;35.083;11.7483;341.085524;464.048;5.0568;46.718;0.091242;8.13;0.594;2.43
24.702;2022-06-03 12:28:18;35.134;11.747;341.146129;464.147;5.0584;46.731;0.091178;8.13;0.5635;2.331
24.75;2022-06-03 12:28:19;35.203;11.7455;341.08553;464.083;5.0455;46.61;0.091258;8.131;0.5864;2.403
24.795;2022-06-03 12:28:19;35.266;11.7414;340.964333;463.97;5.043;46.583;0.091354;8.129;0.594;2.623
24.837;2022-06-03 12:28:19;35.327;11.7339;340.873441;463.941;5.0406;46.553;0.09129;8.128;0.594;2.527
24.865;2022-06-03 12:28:19;35.366;11.721;340.691653;463.857;5.0385;46.519;0.09137;8.13;0.8916;2.63
24.889;2022-06-03 12:28:20;35.4;11.7018;340.570474;463.934;5.0447;46.556;0.09129;8.129;1.0365;2.674
24.914;2022-06-03 12:28:20;35.436;11.6829;340.509896;464.091;5.0402;46.495;0.091306;8.129;1.3799;2.552
24.943;2022-06-03 12:28:20;35.478;11.6676;340.479614;464.242;5.0462;46.534;0.091178;8.128;1.3417;2.655
24.972;2022-06-03 12:28:20;35.518;11.6546;340.388729;464.284;5.0462;46.519;0.091274;8.129;1.1128;2.659
25.001;2022-06-03 12:28:21;35.56;11.6434;340.388743;464.426;5.0495;46.539;0.091322;8.131;0.9374;2.647
25.029;2022-06-03 12:28:21;35.6;11.6337;340.388754;464.549;5.0553;46.582;0.091274;8.132;0.884;2.594
25.059;2022-06-03 12:28:21;35.642;11.6284;340.297862;464.492;5.0516;46.542;0.09129;8.129;0.884;2.617
25.091;2022-06-03 12:28:21;35.687;11.6221;340.23727;464.489;5.0517;46.536;0.091178;8.133;0.8382;2.644
25.128;2022-06-03 12:28:22;35.74;11.6143;340.23728;464.588;5.0542;46.551;0.091242;8.133;0.8763;2.502
25.161;2022-06-03 12:28:22;35.788;11.6071;340.17669;464.596;5.0503;46.507;0.091242;8.13;0.7619;2.472
25.195;2022-06-03 12:28:22;35.836;11.5964;340.116104;464.65;5.0497;46.49;0.09121;8.132;0.8534;2.514
25.228;2022-06-03 12:28:22;35.883;11.586;339.994919;464.616;5.0533;46.512;0.09121;8.126;0.884;2.447
25.268;2022-06-03 12:28:23;35.94;11.575;339.873735;464.591;5.0543;46.51;0.091274;8.13;0.8382;2.285
25.301;2022-06-03 12:28:23;35.987;11.557;339.661664;464.529;5.0474;46.427;0.091274;8.13;0.8153;2.369
25.334;2022-06-03 12:28:23;36.033;11.5356;339.267808;464.262;5.0461;46.393;0.091306;8.133;0.7237;2.235
25.367;2022-06-03 12:28:23;36.08;11.5131;339.116343;464.341;5.0378;46.292;0.09121;8.13;0.9068;2.264
25.401;2022-06-03 12:28:24;36.128;11.4944;339.025471;464.455;5.028;46.182;0.091258;8.129;0.9068;2.174
25.427;2022-06-03 12:28:24;36.165;11.4757;339.086088;464.776;5.0216;46.103;0.091306;8.133;0.9679;2.035
25.45;2022-06-03 12:28:24;36.198;11.4636;338.964911;464.764;5.0096;45.98;0.091242;8.128;0.8305;2.144
25.476;2022-06-03 12:28:24;36.235;11.454;338.904327;464.803;4.9977;45.861;0.091258;8.128;0.8916;2.161
25.502;2022-06-03 12:28:25;36.272;11.4419;338.813448;464.833;4.9828;45.712;0.09121;8.131;0.8077;2.195
25.534;2022-06-03 12:28:25;36.317;11.4302;338.692272;464.816;4.944;45.344;0.09137;8.133;0.8534;2.07
25.572;2022-06-03 12:28:25;36.372;11.4201;338.601392;464.82;4.9092;45.015;0.091274;8.127;0.8611;2.153
25.61;2022-06-03 12:28:25;36.426;11.4117;338.389323;464.636;4.8691;44.637;0.091306;8.132;0.8077;2.132
25.644;2022-06-03 12:28:26;36.474;11.3987;338.298448;464.677;4.8289;44.256;0.09121;8.13;0.7619;2.14
25.679;2022-06-03 12:28:26;36.524;11.3834;338.146982;464.664;4.784;43.829;0.091242;8.129;0.7237;2.1
25.716;2022-06-03 12:28:26;36.577;11.3708;338.056108;464.701;4.7468;43.476;0.091178;8.13;0.6627;2.369
25.745;2022-06-03 12:28:26;36.619;11.3567;338.056124;464.881;4.7094;43.12;0.091226;8.127;0.7085;2.659
25.768;2022-06-03 12:28:27;36.651;11.341;337.99555;464.999;4.6813;42.846;0.09121;8.129;0.6398;2.859
25.785;2022-06-03 12:28:27;36.675;11.3259;337.934974;465.109;4.6446;42.496;0.091274;8.131;0.7237;2.504
25.801;2022-06-03 12:28:27;36.698;11.3153;337.934986;465.245;4.61;42.169;0.091322;8.129;0.7848;2.42
25.822;2022-06-03 12:28:27;36.727;11.3026;337.874408;465.323;4.5717;41.807;0.09129;8.131;0.8382;2.333
25.846;2022-06-03 12:28:28;36.761;11.2898;337.783535;465.362;4.5519;41.613;0.09129;8.127;0.8458;2.333
25.879;2022-06-03 12:28:28;36.808;11.2801;337.844139;465.57;4.531;41.413;0.091242;8.127;0.9679;2.44
25.907;2022-06-03 12:28:28;36.848;11.2724;337.722964;465.502;4.5252;41.353;0.091274;8.131;0.884;2.487
25.924;2022-06-03 12:28:28;36.873;11.2649;337.632085;465.474;4.5442;41.519;0.091242;8.129;0.8534;2.411
25.943;2022-06-03 12:28:29;36.9;11.2579;337.601798;465.521;4.5775;41.816;0.091306;8.13;0.8611;2.266
25.967;2022-06-03 12:28:29;36.934;11.2535;337.601803;465.578;4.6294;42.287;0.091306;8.128;0.7848;2.415
26.003;2022-06-03 12:28:29;36.985;11.2484;337.60181;465.643;4.6803;42.746;0.09129;8.126;0.739;2.201
26.045;2022-06-03 12:28:29;37.044;11.2441;337.541224;465.616;4.755;43.424;0.091274;8.127;0.8;2.02
26.085;2022-06-03 12:28:30;37.102;11.2412;337.480638;465.569;4.8201;44.016;0.091306;8.129;0.8077;1.917
26.123;2022-06-03 12:28:30;37.156;11.2373;337.420052;465.535;4.8815;44.572;0.09129;8.125;0.6932;1.89
26.161;2022-06-03 12:28:30;37.21;11.2326;337.450354;465.638;4.934;45.047;0.091386;8.124;0.6932;1.791
26.202;2022-06-03 12:28:30;37.268;11.2279;337.359474;465.573;4.9687;45.359;0.091274;8.126;0.533;1.904
26.241;2022-06-03 12:28:31;37.324;11.2236;337.329184;465.586;5.0016;45.655;0.091354;8.125;0.6551;1.955
26.273;2022-06-03 12:28:31;37.369;11.2202;337.329189;465.629;5.0125;45.75;0.09121;8.121;0.5635;1.873
26.297;2022-06-03 12:28:31;37.403;11.2166;337.329194;465.677;5.02;45.815;0.091306;8.12;0.594;1.871
26.317;2022-06-03 12:28:31;37.432;11.2129;337.329199;465.724;5.013;45.748;0.09137;8.123;0.5788;1.873
26.338;2022-06-03 12:28:32;37.462;11.2105;337.268611;465.671;5.0054;45.676;0.091354;8.122;0.6856;1.802
26.363;2022-06-03 12:28:32;37.497;11.2065;337.177731;465.597;4.9919;45.548;0.091306;8.122;0.6932;1.957
26.393;2022-06-03 12:28:32;37.539;11.2;337.147444;465.639;4.9787;45.421;0.091258;8.123;0.6932;2.007
26.441;2022-06-03 12:28:32;37.608;11.1948;337.086861;465.622;4.97;45.336;0.091306;8.123;0.7771;1.856
26.499;2022-06-03 12:28:33;37.69;11.1894;336.995984;465.566;4.9619;45.256;0.091274;8.124;0.8;1.898
26.56;2022-06-03 12:28:33;37.777;11.1843;336.874812;465.464;4.9476;45.121;0.091242;8.126;0.7543;1.646
26.609;2022-06-03 12:28:33;37.847;11.179;336.753641;465.365;4.9496;45.133;0.091306;8.124;0.6398;1.791
26.637;2022-06-03 12:28:33;37.887;11.1708;336.693062;465.387;4.9473;45.104;0.091274;8.124;0.6551;1.654
26.656;2022-06-03 12:28:34;37.914;11.1594;336.723369;465.575;4.9543;45.156;0.091306;8.128;0.7085;1.827
26.682;2022-06-03 12:28:34;37.951;11.1507;336.693085;465.646;4.9505;45.112;0.091274;8.128;0.6093;1.843
26.708;2022-06-03 12:28:34;37.988;11.1446;336.632504;465.64;4.9331;44.947;0.091354;8.127;0.5788;1.812
26.727;2022-06-03 12:28:34;38.014;11.1357;336.571925;465.67;4.9086;44.715;0.091242;8.125;0.6169;2.024
26.751;2022-06-03 12:28:35;38.049;11.1278;336.571935;465.773;4.8788;44.436;0.09129;8.129;0.7543;1.864
26.777;2022-06-03 12:28:35;38.086;11.1243;336.511351;465.734;4.8427;44.103;0.091386;8.13;1.0671;1.741
26.81;2022-06-03 12:28:35;38.132;11.1184;336.420476;465.685;4.8118;43.815;0.091242;8.131;0.9221;1.64
26.844;2022-06-03 12:28:35;38.181;11.1119;336.39019;465.726;4.7895;43.607;0.091274;8.129;0.8992;1.734
26.882;2022-06-03 12:28:36;38.235;11.1086;336.238726;465.559;4.7844;43.556;0.091258;8.128;0.7543;1.831
26.916;2022-06-03 12:28:36;38.283;11.0999;336.117562;465.504;4.7954;43.648;0.091274;8.128;0.6017;1.654
26.953;2022-06-03 12:28:36;38.336;11.0873;336.056989;465.582;4.8156;43.819;0.09121;8.126;0.7237;1.688
26.994;2022-06-03 12:28:36;38.395;11.0755;335.784364;465.357;4.8439;44.064;0.091274;8.126;0.739;1.741
27.035;2022-06-03 12:28:37;38.452;11.0583;335.602626;465.327;4.8663;44.251;0.091226;8.13;0.7085;1.591
27.074;2022-06-03 12:28:37;38.508;11.0364;335.451188;465.4;4.9087;44.614;0.091306;8.133;0.6169;1.595
27.109;2022-06-03 12:28:37;38.558;11.0137;335.390628;465.609;4.9389;44.864;0.091306;8.134;0.5788;1.659
27.141;2022-06-03 12:28:37;38.603;10.9949;335.26948;465.683;4.9648;45.08;0.091226;8.133;0.6551;1.772
27.178;2022-06-03 12:28:38;38.656;10.9814;335.269496;465.858;4.9879;45.275;0.091306;8.132;0.7314;1.77
27.202;2022-06-03 12:28:38;38.69;10.9723;335.148338;465.808;4.9955;45.335;0.09137;8.132;0.7543;1.717
27.22;2022-06-03 12:28:38;38.716;10.9644;335.148347;465.91;5.0055;45.418;0.09137;8.134;0.7543;1.617
27.246;2022-06-03 12:28:38;38.753;10.9576;335.087771;465.914;5.0027;45.385;0.091194;8.134;0.7695;1.574
27.291;2022-06-03 12:28:39;38.817;10.9529;334.996901;465.849;4.9973;45.331;0.091338;8.14;0.7848;1.757
27.347;2022-06-03 12:28:39;38.896;10.9494;334.906031;465.768;4.9818;45.187;0.091386;8.138;0.739;1.701
27.398;2022-06-03 12:28:39;38.969;10.9426;334.693999;465.561;4.9692;45.065;0.091226;8.138;0.678;1.781
27.434;2022-06-03 12:28:39;39.021;10.9254;334.391106;465.363;4.9523;44.894;0.091258;8.137;0.7237;1.656
27.455;2022-06-03 12:28:40;39.05;10.9032;334.239676;465.439;4.941;44.768;0.091306;8.139;0.6856;1.541
27.473;2022-06-03 12:28:40;39.076;10.8828;334.118535;465.536;4.9277;44.627;0.09129;8.139;0.7161;1.843
27.499;2022-06-03 12:28:40;39.112;10.8664;334.088263;465.706;4.915;44.495;0.09121;8.138;0.678;1.738
27.531;2022-06-03 12:28:40;39.159;10.8551;334.118567;465.895;4.9106;44.444;0.091242;8.142;0.6856;1.677
27.567;2022-06-03 12:28:41;39.21;10.8489;334.057994;465.892;4.8968;44.312;0.091274;8.138;0.8992;1.734
27.598;2022-06-03 12:28:41;39.253;10.8446;334.058;465.947;4.8853;44.204;0.091258;8.14;0.8077;1.72
27.624;2022-06-03 12:28:41;39.291;10.8419;333.936841;465.813;4.8753;44.111;0.091338;8.137;0.6932;1.612
27.646;2022-06-03 12:28:41;39.322;10.8361;333.876268;465.804;4.8664;44.024;0.091258;8.136;0.6474;1.528
27.679;2022-06-03 12:28:42;39.368;10.8304;333.845985;465.836;4.8513;43.882;0.091274;8.139;0.5864;1.728
27.728;2022-06-03 12:28:42;39.438;10.8234;333.724833;465.758;4.8355;43.732;0.091274;8.139;0.5864;1.812
27.782;2022-06-03 12:28:42;39.516;10.8137;333.543106;465.63;4.8187;43.57;0.091258;8.134;0.6246;1.596
27.838;2022-06-03 12:28:42;39.595;10.8017;333.421962;465.618;4.8072;43.453;0.091178;8.14;0.594;1.722
27.882;2022-06-03 12:28:43;39.657;10.7867;333.149374;465.432;4.7989;43.364;0.091226;8.136;0.594;1.663
27.912;2022-06-03 12:28:43;39.701;10.7646;333.028243;465.551;4.7883;43.245;0.091274;8.137;0.5635;1.713
27.932;2022-06-03 12:28:43;39.729;10.7428;332.967689;465.75;4.7782;43.133;0.091274;8.137;0.5406;1.659
27.956;2022-06-03 12:28:43;39.763;10.7271;332.907129;465.87;4.7819;43.15;0.091306;8.133;0.5406;1.652
27.983;2022-06-03 12:28:44;39.801;10.7166;332.876852;465.963;4.7729;43.059;0.091306;8.134;0.5254;1.877
28.013;2022-06-03 12:28:44;39.843;10.7102;332.87686;466.047;4.7634;42.966;0.09129;8.135;0.4796;1.953
28.037;2022-06-03 12:28:44;39.878;10.7058;332.907154;466.147;4.7562;42.897;0.091306;8.135;0.4949;1.776
28.079;2022-06-03 12:28:44;39.938;10.706;332.876867;466.102;4.747;42.815;0.091386;8.135;0.4949;1.884
28.136;2022-06-03 12:28:45;40.019;10.703;332.634562;465.802;4.7373;42.724;0.091306;8.132;0.6703;2.026
28.203;2022-06-03 12:28:45;40.114;10.6902;332.574002;465.885;4.7387;42.724;0.09129;8.135;0.7924;1.856
28.256;2022-06-03 12:28:45;40.19;10.6748;332.39229;465.831;4.7358;42.683;0.09129;8.134;0.8153;1.694
28.292;2022-06-03 12:28:45;40.241;10.6566;331.998569;465.516;4.732;42.63;0.091354;8.136;0.7008;1.616
28.324;2022-06-03 12:28:46;40.286;10.631;331.847161;465.638;4.7266;42.556;0.091322;8.132;0.739;1.614
28.352;2022-06-03 12:28:46;40.326;10.6048;331.665467;465.726;4.7332;42.589;0.091242;8.133;0.7237;1.574
28.385;2022-06-03 12:28:46;40.373;10.5826;331.665492;466.017;4.7261;42.504;0.09121;8.132;0.739;1.801
28.424;2022-06-03 12:28:46;40.429;10.5656;331.726086;466.325;4.7233;42.461;0.09121;8.14;0.8077;1.642
28.478;2022-06-03 12:28:47;40.505;10.5584;331.726095;466.419;4.7194;42.42;0.091338;8.141;0.7237;1.663
28.529;2022-06-03 12:28:47;40.578;10.5548;331.483805;466.125;4.7136;42.364;0.091322;8.133;0.6856;1.633
28.569;2022-06-03 12:28:47;40.635;10.5429;331.362672;466.111;4.703;42.257;0.091274;8.134;0.5788;1.57
28.592;2022-06-03 12:28:47;40.668;10.5288;331.332401;466.254;4.6941;42.162;0.091306;8.134;0.6551;1.558
28.616;2022-06-03 12:28:48;40.702;10.5185;331.27184;466.304;4.6937;42.149;0.09121;8.134;0.7466;1.513
28.646;2022-06-03 12:28:48;40.744;10.5126;331.302134;466.425;4.693;42.137;0.091322;8.133;0.7695;1.534
28.684;2022-06-03 12:28:48;40.798;10.5082;331.271854;466.44;4.6896;42.103;0.091258;8.136;0.739;1.635
28.729;2022-06-03 12:28:48;40.862;10.5052;331.271858;466.479;4.6931;42.131;0.091274;8.13;0.678;1.688
28.771;2022-06-03 12:28:49;40.923;10.5041;331.150715;466.322;4.6978;42.172;0.091242;8.135;0.7161;1.631
28.815;2022-06-03 12:28:49;40.985;10.5006;331.090148;466.283;4.6984;42.174;0.09137;8.132;0.6474;1.57
28.854;2022-06-03 12:28:49;41.041;10.4929;330.969013;466.213;4.699;42.172;0.091338;8.132;0.8305;1.625
28.885;2022-06-03 12:28:49;41.084;10.4826;330.817595;466.135;4.6971;42.144;0.09129;8.137;0.9374;1.658
28.913;2022-06-03 12:28:50;41.124;10.4708;330.545038;465.907;4.6771;41.953;0.091258;8.137;0.8992;1.566
28.93;2022-06-03 12:28:50;41.148;10.4556;330.454199;465.978;4.6618;41.802;0.09129;8.133;0.9526;1.699
28.946;2022-06-03 12:28:50;41.171;10.4424;330.423929;466.11;4.6435;41.624;0.091242;8.136;0.8229;1.585
28.963;2022-06-03 12:28:50;41.196;10.4312;330.333086;466.128;4.6268;41.464;0.091194;8.134;0.7848;1.77
28.989;2022-06-03 12:28:51;41.231;10.4212;330.242242;466.132;4.6206;41.399;0.091322;8.138;0.7085;1.928
29.017;2022-06-03 12:28:51;41.272;10.4127;330.060543;465.987;4.6211;41.395;0.09129;8.133;0.7085;1.797
29.051;2022-06-03 12:28:51;41.32;10.3976;329.939422;466.014;4.6133;41.31;0.091306;8.135;0.739;1.562
29.088;2022-06-03 12:28:51;41.373;10.3772;329.727455;465.984;4.6036;41.204;0.091274;8.134;0.7924;1.535
29.128;2022-06-03 12:28:52;41.43;10.357;329.333787;465.694;4.5873;41.038;0.091354;8.141;0.7771;1.583
29.153;2022-06-03 12:28:52;41.466;10.3262;328.97042;465.586;4.5615;40.778;0.091258;8.139;0.7619;1.619
29.171;2022-06-03 12:28:52;41.491;10.284;328.758486;465.842;4.5448;40.588;0.091242;8.141;0.739;1.677
29.188;2022-06-03 12:28:52;41.516;10.2476;328.758525;466.324;4.5204;40.336;0.091354;8.136;0.884;1.659
29.217;2022-06-03 12:28:53;41.556;10.2234;328.697986;466.558;4.5007;40.138;0.091306;8.139;0.8992;1.562
29.246;2022-06-03 12:28:53;41.598;10.2072;328.607157;466.643;4.4998;40.115;0.091274;8.14;0.7924;1.556
29.278;2022-06-03 12:28:53;41.643;10.1968;328.637451;466.825;4.5069;40.168;0.091274;8.14;0.7085;1.448
29.315;2022-06-03 12:28:53;41.696;10.1921;328.637458;466.886;4.5234;40.311;0.091226;8.137;0.6246;1.52
29.366;2022-06-03 12:28:54;41.769;10.1902;328.576896;466.827;4.5301;40.369;0.091338;8.136;0.678;1.541
29.414;2022-06-03 12:28:54;41.837;10.1853;328.395209;466.633;4.5642;40.668;0.091338;8.133;0.8077;1.364
29.446;2022-06-03 12:28:54;41.882;10.1802;328.243804;466.486;4.5855;40.853;0.091306;8.135;0.6627;1.434
29.473;2022-06-03 12:28:54;41.921;10.1711;328.243815;466.606;4.5932;40.912;0.091274;8.134;0.6474;1.484
29.491;2022-06-03 12:28:55;41.946;10.1609;328.243826;466.741;4.607;41.025;0.091338;8.13;0.6169;1.497
29.511;2022-06-03 12:28:55;41.975;10.1536;328.183271;466.753;4.5935;40.898;0.091306;8.128;0.5864;1.349
29.537;2022-06-03 12:28:55;42.011;10.1486;328.122713;466.732;4.5678;40.664;0.091338;8.132;0.6246;1.436
29.57;2022-06-03 12:28:55;42.059;10.1441;328.153001;466.836;4.5445;40.453;0.09137;8.131;0.7008;1.333
29.618;2022-06-03 12:28:56;42.127;10.1401;328.183288;466.932;4.5122;40.162;0.091322;8.129;0.6627;1.463
29.672;2022-06-03 12:28:56;42.203;10.1379;328.062165;466.788;4.4615;39.709;0.091338;8.125;0.6322;1.402
29.717;2022-06-03 12:28:56;42.267;10.1296;327.789641;466.512;4.4258;39.383;0.091194;8.13;0.8534;1.362
29.742;2022-06-03 12:28:56;42.303;10.1131;327.759378;466.687;4.3959;39.101;0.091418;8.13;1.0289;1.413
29.758;2022-06-03 12:28:57;42.326;10.1005;327.729111;466.811;4.3824;38.97;0.091274;8.127;0.8611;1.408
29.773;2022-06-03 12:28:57;42.348;10.0919;327.729121;466.927;4.3681;38.835;0.09129;8.127;0.8534;1.337
29.794;2022-06-03 12:28:57;42.377;10.0865;327.698846;466.955;4.3698;38.846;0.091258;8.126;0.8992;1.341
29.818;2022-06-03 12:28:57;42.411;10.0821;327.608008;466.883;4.3612;38.765;0.091274;8.122;0.7848;1.411
29.842;2022-06-03 12:28:58;42.446;10.0775;327.547451;466.859;4.3612;38.76;0.091242;8.124;0.8;1.505
29.862;2022-06-03 12:28:58;42.474;10.0735;327.547456;466.912;4.3675;38.813;0.091178;8.124;0.678;1.255
29.879;2022-06-03 12:28:58;42.498;10.0713;327.638302;467.071;4.3602;38.746;0.091338;8.121;0.5635;1.324
29.901;2022-06-03 12:28:58;42.529;10.0714;327.608022;467.027;4.3486;38.643;0.091274;8.125;0.5025;1.381
29.928;2022-06-03 12:28:59;42.568;10.0716;327.608022;467.023;4.3388;38.557;0.091306;8.121;0.5025;1.297
29.958;2022-06-03 12:28:59;42.61;10.0703;327.486901;466.869;4.3335;38.508;0.091242;8.12;0.5025;1.448
29.987;2022-06-03 12:28:59;42.652;10.0647;327.456627;466.9;4.3138;38.328;0.091354;8.117;0.4491;1.513
30.017;2022-06-03 12:28:59;42.694;10.0564;327.396075;466.925;4.3072;38.261;0.09129;8.117;0.4567;1.577
30.047;2022-06-03 12:29:00;42.737;10.0464;327.153842;466.712;4.2975;38.167;0.091242;8.12;0.4872;1.728
30.072;2022-06-03 12:29:00;42.773;10.0327;327.093296;466.808;4.2834;38.029;0.091274;8.12;0.4338;1.661
30.093;2022-06-03 12:29:00;42.803;10.0195;327.03275;466.897;4.2756;37.948;0.09121;8.117;0.4949;1.455
30.112;2022-06-03 12:29:00;42.829;10.0096;327.002481;466.986;4.2818;37.994;0.091242;8.116;0.5101;1.44
30.137;2022-06-03 12:29:01;42.865;10.0031;327.032769;467.116;4.2798;37.97;0.091306;8.112;0.6551;1.385
30.157;2022-06-03 12:29:01;42.893;9.9992;327.032774;467.168;4.2774;37.946;0.091306;8.114;0.6627;1.398
30.178;2022-06-03 12:29:01;42.924;9.9969;327.032777;467.199;4.2833;37.996;0.091306;8.114;0.739;1.535
30.196;2022-06-03 12:29:01;42.949;9.9956;327.032779;467.216;4.2891;38.046;0.09129;8.111;0.7543;1.637
30.217;2022-06-03 12:29:02;42.978;9.9956;327.03278;467.217;4.2987;38.132;0.091322;8.11;0.9603;1.541
30.236;2022-06-03 12:29:02;43.006;9.9956;327.03278;467.217;4.3064;38.199;0.091306;8.106;1.0518;1.518
30.264;2022-06-03 12:29:02;43.045;9.9949;327.002502;467.182;4.3114;38.244;0.091386;8.11;0.8611;1.537
30.294;2022-06-03 12:29:02;43.088;9.9905;326.941947;467.155;4.3134;38.258;0.091322;8.108;0.678;1.509
30.333;2022-06-03 12:29:03;43.144;9.9846;326.820834;467.06;4.3178;38.291;0.09129;8.109;0.6017;1.591
30.381;2022-06-03 12:29:03;43.212;9.9783;326.760283;467.057;4.3267;38.365;0.09129;8.108;0.5483;1.469
30.427;2022-06-03 12:29:03;43.278;9.967;326.639177;467.035;4.3231;38.323;0.091338;8.105;0.5025;1.452
30.464;2022-06-03 12:29:03;43.331;9.9514;326.518077;467.071;4.3259;38.333;0.091226;8.104;0.4643;1.547
30.492;2022-06-03 12:29:04;43.369;9.9343;326.487816;467.257;4.3342;38.391;0.091242;8.107;0.388;1.457
30.525;2022-06-03 12:29:04;43.417;9.92;326.427273;467.361;4.3379;38.411;0.091322;8.106;0.594;1.467
30.559;2022-06-03 12:29:04;43.466;9.9102;326.427285;467.492;4.3465;38.478;0.091242;8.106;0.5559;1.566
30.593;2022-06-03 12:29:04;43.514;9.9042;326.487851;467.659;4.354;38.539;0.091338;8.103;0.6932;1.577
30.629;2022-06-03 12:29:05;43.565;9.902;326.427296;467.602;4.3676;38.658;0.091306;8.104;0.6932;1.362
30.663;2022-06-03 12:29:05;43.613;9.9009;326.275902;467.4;4.3722;38.697;0.091194;8.104;0.7085;1.501
30.694;2022-06-03 12:29:05;43.657;9.8931;326.245632;467.461;4.4012;38.946;0.091418;8.102;0.6703;1.511
30.713;2022-06-03 12:29:05;43.685;9.8821;326.124528;467.436;4.4151;39.059;0.091258;8.103;0.6093;1.52
30.729;2022-06-03 12:29:06;43.706;9.8736;326.124538;467.548;4.4264;39.152;0.091242;8.099;0.4872;1.49
30.741;2022-06-03 12:29:06;43.723;9.8682;326.124544;467.622;4.435;39.222;0.091354;8.1;0.4414;1.425
30.755;2022-06-03 12:29:06;43.744;9.8637;326.063991;467.595;4.4434;39.293;0.091258;8.098;0.4262;1.375
30.766;2022-06-03 12:29:06;43.759;9.8585;325.973161;467.534;4.4525;39.368;0.091418;8.103;0.4796;1.347
30.784;2022-06-03 12:29:07;43.785;9.8533;325.973167;467.604;4.4582;39.414;0.09129;8.1;0.4491;1.379
30.814;2022-06-03 12:29:07;43.827;9.8492;326.003451;467.703;4.4625;39.448;0.091306;8.099;0.5101;1.482
30.852;2022-06-03 12:29:07;43.882;9.8471;326.003454;467.731;4.464;39.46;0.091306;8.101;0.4414;1.366
30.887;2022-06-03 12:29:07;43.931;9.8462;325.973178;467.699;4.4703;39.515;0.091338;8.097;0.6551;1.564
