depth_m,Temp_degC
11.81,16.5018
11.84,16.4877
11.872,16.4704
11.904,16.4582
11.942,16.4447
11.989,16.4267
12.037,16.4066
12.072,16.3781
12.098,16.3377
12.121,16.2999
12.146,16.2762
12.177,16.263
12.207,16.251
12.238,16.2284
12.274,16.2033
12.313,16.1862
12.355,16.1639
12.388,16.1286
12.411,16.0945
12.433,16.0631
12.459,16.0354
12.496,16.0184
12.544,16.0043
12.598,15.9949
12.639,15.9855
12.676,15.9647
12.702,15.9427
12.721,15.9259
12.745,15.9137
12.783,15.9057
12.838,15.8989
12.892,15.8941
12.935,15.89
12.966,15.882
12.991,15.8741
13.008,15.8674
13.022,15.861
13.036,15.855
13.065,15.852
13.1,15.8494
13.134,15.8481
13.162,15.8476
13.184,15.8433
13.205,15.8281
13.227,15.8059
13.259,15.7842
13.295,15.7677
13.328,15.7565
13.354,15.7438
13.39,15.7291
13.429,15.7157
13.473,15.7041
13.514,15.6982
13.548,15.6943
13.57,15.6894
13.582,15.6845
13.592,15.6797
13.609,15.6756
13.636,15.6733
13.669,15.6714
13.708,15.669
13.744,15.6662
13.789,15.6591
13.836,15.6447
13.878,15.6251
13.904,15.5989
13.926,15.5646
13.957,15.5309
13.999,15.5028
14.037,15.4826
14.068,15.4741
14.092,15.471
14.107,15.4513
14.129,15.4221
14.163,15.4002
14.201,15.3865
14.247,15.3764
14.291,15.3691
14.339,15.3586
14.396,15.3387
14.452,15.3148
14.49,15.2889
14.505,15.2576
14.519,15.2278
14.547,15.2079
14.595,15.1946
14.649,15.1833
14.694,15.1755
14.734,15.1585
14.761,15.1317
14.783,15.1071
14.802,15.0886
14.841,15.0773
14.889,15.0701
14.935,15.0681
14.98,15.0664
15.016,15.0583
15.051,15.0461
15.082,15.0368
15.11,15.0295
15.129,15.0246
15.156,15.0228
15.199,15.0205
15.242,15.0176
15.277,15.0153
15.31,15.013
15.341,15.0063
15.377,15.0003
15.415,14.9945
15.451,14.9868
15.474,14.9769
15.493,14.9624
15.511,14.9499
15.542,14.941
15.576,14.9335
15.62,14.9243
15.666,14.9131
15.705,14.896
15.736,14.8715
15.768,14.8484
15.803,14.8335
15.838,14.8215
15.866,14.8108
15.899,14.8019
15.937,14.7896
15.977,14.7686
16.012,14.7473
16.043,14.7277
16.072,14.7097
16.105,14.6937
16.142,14.6808
16.172,14.6731
16.191,14.6654
16.21,14.6579
16.233,14.652
16.26,14.6478
16.298,14.6418
16.34,14.6356
16.38,14.6294
16.412,14.6188
16.437,14.6038
16.468,14.5881
16.501,14.5764
16.539,14.5664
16.57,14.557
16.601,14.544
16.63,14.5283
16.666,14.5102
16.693,14.4932
16.706,14.4783
16.715,14.466
16.734,14.4602
16.758,14.4574
16.794,14.4548
16.842,14.4503
16.883,14.44
16.928,14.4244
16.976,14.4119
17.022,14.4056
17.045,14.4018
17.059,14.3987
17.088,14.3965
17.134,14.3947
17.174,14.3925
17.202,14.3904
17.215,14.386
17.219,14.3793
17.229,14.3733
17.251,14.3714
17.281,14.3722
17.312,14.3712
17.342,14.3702
17.368,14.3615
17.394,14.3459
17.424,14.3313
17.453,14.3177
17.484,14.3018
17.511,14.2859
17.54,14.2732
17.574,14.2637
17.604,14.256
17.63,14.2459
17.647,14.238
17.664,14.2305
17.676,14.2244
17.699,14.2221
17.726,14.2202
17.75,14.2153
17.767,14.2069
17.789,14.1981
17.814,14.1856
